What is your age?,How many traffic lights do you have to pass during your travel journey ?,How many junctions during your travel journey?,How many road blocks during your travel journey?,How many toll booth are there from your house to work/school/university/ hospital?,Departure_Lat,Departure_Lon,Destination_Lat,Destination_Lon,Departure_hour,Departure_minute,Destination_hour,Destination_minute,Travel_Time_Minutes,Mode_of_Transportation_Bus,Mode_of_Transportation_Cabs Services,Mode_of_Transportation_Car,Mode_of_Transportation_College Bus,Mode_of_Transportation_College Bus ,Mode_of_Transportation_Cycle,Mode_of_Transportation_Institution Provided Transport ,Mode_of_Transportation_Magic,Mode_of_Transportation_Public Transport,Mode_of_Transportation_Railway ,Mode_of_Transportation_Train,Mode_of_Transportation_Two Wheeler,Mode_of_Transportation_Uber,Mode_of_Transportation_Udke,Mode_of_Transportation_University Bus,Mode_of_Transportation_University Bus ,Mode_of_Transportation_Walk,Mode_of_Transportation_Walking
19.0,6,0,0,0.0,26.848758,75.819074,26.9058493,75.80654500000001,9,0,16,0,40.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,5,0,0,0.0,26.8366366,75.7548055,26.8539113,75.8283917,8,0,16,0,20.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,4,5,2,0.0,26.8316033,75.76587599999999,26.8539113,75.8283917,8,0,16,0,25.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,1,0,0,0.0,26.4573487,74.6458987,26.8437601,75.8175392,7,0,17,0,15.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,6,0,0,0.0,23.3725249,85.33003579999999,26.8545077,75.8286466,8,0,16,0,25.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,0,0,0,0.0,26.9597381,75.6709855,26.8548759,75.8240721,8,0,15,0,45.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,3,6,3,0.0,26.8333439,75.8424299,26.8548759,75.8240721,8,0,18,0,50.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,2,1,0,0.0,26.8539518,75.7612568,26.8504593,75.76277019999999,8,0,16,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,3,0,0,0.0,26.8466958,75.8095876,26.8539113,75.8283917,5,0,18,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,3,0,3,0.0,26.8503108,75.78474880000002,26.8550079,75.82409539999999,8,0,16,0,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,2,0,2,0.0,26.9013363,75.828819,26.9013363,75.828819,8,0,16,0,30.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,2,0,0,0.0,26.9776019,75.76391869999999,26.9776019,75.76391869999999,8,0,16,0,15.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,5,1,10,0.0,26.8892774,75.897178,26.854033,75.8283378,7,0,17,0,50.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,5,0,2,0.0,26.8020678,75.8258125,26.8437601,75.8175392,8,0,15,0,45.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,1,2,2,0.0,26.8437601,75.8175392,26.8437601,75.8175392,7,0,17,0,20.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,1,0,0,0.0,26.8004792,75.8592857,26.8539113,75.8283917,0,0,17,0,20.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,5,0,0,0.0,26.8176736,75.86171709999999,26.9047751,75.74886409999999,8,0,18,0,22.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,8,3,0,0.0,26.9686154,75.7504459,26.9686154,75.7504459,8,0,17,0,70.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,0,0,3,0.0,26.8548759,75.8240721,26.8539113,75.8283917,7,0,16,0,90.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,1,0,0,0.0,26.8020678,75.8258125,25.2288898,75.877106,9,0,17,0,30.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
19.0,3,0,0,0.0,26.8020678,75.8258125,26.9124336,75.7872709,8,0,16,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,1,1,2,0.0,26.9018769,75.8271749,26.8550079,75.82409539999999,8,0,16,0,15.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,3,0,1,0.0,26.853463,75.79092469999999,26.854033,75.8283378,8,0,16,0,25.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,0,0,0,0.0,26.8987016,75.8165629,26.8550079,75.82409539999999,8,0,17,0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
19.0,3,0,3,0.0,26.8834166,75.8332975,26.8555181,75.8074729,8,0,17,0,20.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,3,0,2,0.0,27.4307473,82.1805203,26.8437601,75.8175392,7,0,20,0,45.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,0,6,2,2.0,44.040457,4.579549,25.3366306,74.5697617,14,0,15,0,30.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,2,2,2,2.0,26.9614512,75.77155259999999,26.854033,75.8283378,7,0,15,0,180.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,7,2,1,1.0,26.8595897,75.75750769999999,26.854033,75.8283378,6,0,18,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,5,3,0,0.0,26.8962776,75.835185,26.8573126,75.828701,8,0,17,0,12.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,2,0,0,0.0,26.8476924,75.7694244,26.8476924,75.7694244,8,0,16,0,12.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,1,0,0,0.0,26.8174731,75.8054552,26.9556924,75.6882696,8,0,17,0,10.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,1,1,1,0.0,26.8191641,75.7659513,26.8550079,75.82409539999999,8,0,18,0,10.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,3,0,0,0.0,26.8534769,75.72844789999999,26.8539113,75.8283917,8,0,15,0,27.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,0,0,1,0.0,26.8730496,75.77865419999999,26.8724592,75.7784282,8,0,16,0,7.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,8,2,2,0.0,26.9047751,75.74886409999999,26.9059167,75.77273199999999,7,0,17,0,60.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,6,0,3,0.0,26.4910728,74.6283622,26.8557628,75.8189235,8,0,16,0,45.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,1,1,1,0.0,26.8437601,75.8175392,26.8437601,75.8175392,8,0,17,0,17.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
19.0,2,2,1,0.0,26.9027795,75.82942729999999,26.854033,75.8283378,8,0,16,0,10.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,2,3,3,0.0,26.8504593,75.76277019999999,26.9132858,75.80344649999999,8,0,17,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,0,3,1,0.0,27.3188379,75.329557,27.3188379,75.329557,9,0,18,0,42.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,3,1,0,0.0,26.8657486,75.8013086,26.8996829,75.81247139999999,8,0,17,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,4,5,1,0.0,26.9113378,75.71823839999999,26.8767803,75.7980575,9,0,16,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,7,0,2,0.0,26.8888925,75.7370953,26.854033,75.8283378,8,0,17,0,40.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,0,0,0,0.0,26.8187434,75.8303353,28.5220971,77.2101534,8,0,17,0,40.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,2,0,0,0.0,26.8020678,75.8258125,28.6327426,77.2195969,7,0,16,0,30.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,3,0,0,2.0,26.8176736,75.86171709999999,27.6093912,75.1397935,7,0,18,0,4.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,3,2,3,2.0,26.8238496,75.8604146,26.8437601,75.8175392,14,0,15,0,30.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,2,2,1,2.0,26.8176736,75.86171709999999,26.8504593,75.76277019999999,0,0,15,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,2,2,2,3.0,26.8229708,75.8623566,26.8225942,75.8659493,8,0,15,0,50.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,0,0,0,0.0,26.8078684,75.7255192,26.8191641,75.7659513,8,0,15,0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
19.0,5,3,1,0.0,26.9094863,75.7812579,26.9132858,75.80344649999999,8,0,19,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,2,2,0,0.0,26.8466281,75.81897409999999,26.8573126,75.828701,9,0,19,0,30.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,1,2,1,0.0,26.8437601,75.8175392,26.8435,75.80457,8,0,20,0,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
19.0,0,0,2,0.0,26.8767803,75.7980575,26.7799499,75.84758529999999,8,0,15,0,30.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
19.0,3,0,1,0.0,26.9556924,75.6882696,26.9178916,75.801538,10,0,19,0,40.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,4,3,2,0.0,26.8538575,75.7379117,26.8538575,75.7379117,9,0,19,0,42.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,3,2,0,0.0,26.4833211,76.73400939999999,26.9261166,75.79287819999999,9,0,18,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,0,2,3,2.0,26.9354437,75.7578623,26.8996829,75.81247139999999,10,0,22,0,180.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,6,0,3,0.0,26.9116828,75.8042958,26.9135766,75.8031871,9,0,15,0,40.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,0,0,0,0.0,26.808912,75.8270099,26.7750625,75.8391018,9,0,18,0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
19.0,0,0,2,0.0,26.8159333,75.8666471,26.166976,74.3805802,9,0,18,0,15.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,3,2,3,3.0,26.8660539,75.8231632,26.7750625,75.8391018,5,0,17,0,40.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,5,0,3,0.0,26.7274517,75.841775,26.7799499,75.84758529999999,6,0,21,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,2,0,1,2.0,26.8035174,75.8424902,26.8225942,75.8659493,6,0,19,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,2,0,0,0.0,26.9533929,75.702683,26.9132858,75.80344649999999,7,0,15,0,17.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,3,1,0,0.0,26.9556924,75.6882696,26.9604654,75.7333524,8,0,20,0,40.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,0,1,0,0.0,26.8694116,75.79430769999999,26.9178916,75.801538,8,0,15,0,30.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
19.0,3,0,1,0.0,26.8573411,75.78656529999999,26.8911571,75.749254,9,0,19,0,30.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,7,0,15,0.0,26.9132858,75.80344649999999,26.9132858,75.80344649999999,9,0,19,0,60.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,3,3,10,0.0,26.9556924,75.6882696,26.9152651,75.7174364,8,0,19,0,30.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,5,0,1,0.0,26.9055822,75.74289929999999,26.9178916,75.801538,9,0,19,0,30.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,2,2,2,0.0,26.8550079,75.82409539999999,26.8176736,75.86171709999999,6,0,18,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,5,0,0,0.0,26.8176736,75.86171709999999,26.9132858,75.80344649999999,7,0,15,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,3,0,0,0.0,26.9526045,75.7969809,26.9526045,75.7969809,9,0,21,0,60.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,2,0,0,0.0,26.9716809,75.71533099999999,26.9556924,75.6882696,8,0,19,0,60.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,3,1,1,0.0,26.9776019,75.76391869999999,26.9132858,75.80344649999999,9,0,19,0,30.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,3,0,1,0.0,26.9494117,75.8381982,26.9132858,75.80344649999999,8,0,20,0,35.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,3,0,0,0.0,26.866987,75.763899,26.854033,75.8283378,8,0,19,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,3,0,0,0.0,26.9519084,75.7707071,26.8539113,75.8283917,8,0,16,0,20.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,11,0,0,0.0,26.9013363,75.828819,27.1518699,75.9347113,8,0,16,0,50.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,3,0,1,0.0,26.8511869,75.7646938,26.9132858,75.80344649999999,7,0,17,0,30.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,3,2,3,0.0,26.8435132,75.8245456,26.8435132,75.8245456,9,0,19,0,45.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,2,0,0,0.0,26.8437601,75.8175392,26.9094863,75.7812579,8,0,16,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,5,0,2,0.0,26.8020678,75.8258125,26.8020678,75.8258125,9,0,18,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,3,1,2,0.0,26.9556924,75.6882696,26.9556924,75.6882696,7,0,18,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,3,0,0,1.0,26.8220553,75.8657023,25.7565132,75.3843756,10,0,19,0,10.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,0,1,0,2.0,26.8176736,75.86171709999999,28.4405551,76.0956977,7,0,17,0,210.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,3,2,2,2.0,26.8591432,75.795735,26.1297009,74.3446441,8,0,16,0,4.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
