YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M
2024,1,1,0,0.0,9.01,58.48,2.57
2024,1,1,1,0.0,8.54,60.23,2.49
2024,1,1,2,0.0,8.07,62.03,2.52
2024,1,1,3,0.0,7.63,64.06,2.64
2024,1,1,4,0.0,7.23,65.84,2.76
2024,1,1,5,0.0,6.88,67.95,2.84
2024,1,1,6,0.0,6.56,69.99,2.88
2024,1,1,7,39.38,8.52,61.95,2.71
2024,1,1,8,76.72,11.77,50.21,3.39
2024,1,1,9,145.32,15.63,39.07,2.76
2024,1,1,10,207.05,19.06,31.58,1.75
2024,1,1,11,417.33,21.02,27.63,0.95
2024,1,1,12,480.38,22.19,24.71,0.75
2024,1,1,13,419.83,22.86,22.65,0.79
2024,1,1,14,308.55,22.98,21.47,0.78
2024,1,1,15,189.85,22.4,21.55,0.77
2024,1,1,16,55.28,20.31,25.86,0.79
2024,1,1,17,0.0,17.63,28.74,1.32
2024,1,1,18,0.0,15.97,31.87,1.87
2024,1,1,19,0.0,14.14,36.26,2.31
2024,1,1,20,0.0,12.45,40.93,2.66
2024,1,1,21,0.0,11.09,45.49,2.92
2024,1,1,22,0.0,10.05,49.65,3.06
2024,1,1,23,0.0,9.22,53.29,3.13
2024,1,2,0,0.0,8.53,56.24,3.12
2024,1,2,1,0.0,7.9,58.97,3.06
2024,1,2,2,0.0,7.37,61.13,3.01
2024,1,2,3,0.0,6.96,62.86,3.01
2024,1,2,4,0.0,6.61,64.55,2.99
2024,1,2,5,0.0,6.31,66.09,2.94
2024,1,2,6,0.0,6.09,67.48,2.81
2024,1,2,7,39.38,8.17,58.83,2.33
2024,1,2,8,71.43,11.67,46.78,2.95
2024,1,2,9,155.2,15.55,36.61,2.65
2024,1,2,10,145.82,19.17,28.9,2.44
2024,1,2,11,148.43,21.0,25.03,1.93
2024,1,2,12,142.05,22.13,22.51,1.71
2024,1,2,13,175.4,22.68,21.41,1.49
2024,1,2,14,141.57,22.56,21.5,1.22
2024,1,2,15,108.53,21.86,22.37,1.01
2024,1,2,16,36.15,19.46,27.04,1.09
2024,1,2,17,0.0,16.66,31.44,1.77
2024,1,2,18,0.0,14.63,36.48,2.36
2024,1,2,19,0.0,13.11,41.41,2.72
2024,1,2,20,0.0,11.94,46.06,2.88
2024,1,2,21,0.0,11.0,50.31,2.91
2024,1,2,22,0.0,10.25,54.0,2.89
2024,1,2,23,0.0,9.67,56.77,2.86
2024,1,3,0,0.0,9.2,58.72,2.84
2024,1,3,1,0.0,8.83,60.07,2.84
2024,1,3,2,0.0,8.48,61.22,2.85
2024,1,3,3,0.0,8.15,61.89,2.88
2024,1,3,4,0.0,7.87,62.09,2.98
2024,1,3,5,0.0,7.62,61.87,3.08
2024,1,3,6,0.0,7.35,61.71,3.12
2024,1,3,7,45.15,8.99,54.41,3.76
2024,1,3,8,143.62,11.51,45.54,3.85
2024,1,3,9,269.08,15.43,37.06,3.18
2024,1,3,10,313.4,18.68,33.02,2.29
2024,1,3,11,427.17,20.51,31.81,1.38
2024,1,3,12,434.45,21.59,30.87,0.88
2024,1,3,13,393.4,22.1,30.42,0.63
2024,1,3,14,285.35,22.11,30.55,0.38
2024,1,3,15,190.12,21.49,31.48,0.18
2024,1,3,16,56.75,19.4,35.34,0.68
2024,1,3,17,0.0,16.68,40.5,1.46
2024,1,3,18,0.0,14.69,43.91,2.12
2024,1,3,19,0.0,13.04,46.44,2.52
2024,1,3,20,0.0,11.74,48.35,2.75
2024,1,3,21,0.0,10.68,50.2,2.87
2024,1,3,22,0.0,9.79,51.87,2.84
2024,1,3,23,0.0,9.06,53.26,2.86
2024,1,4,0,0.0,8.45,54.51,2.84
2024,1,4,1,0.0,7.89,55.48,2.78
2024,1,4,2,0.0,7.39,56.65,2.8
2024,1,4,3,0.0,6.93,58.15,2.86
2024,1,4,4,0.0,6.49,59.8,2.88
2024,1,4,5,0.0,6.08,61.72,2.89
2024,1,4,6,0.0,5.71,63.69,2.94
2024,1,4,7,50.97,7.76,55.64,3.16
2024,1,4,8,72.45,10.37,47.19,3.49
2024,1,4,9,129.85,14.05,38.7,2.8
2024,1,4,10,188.62,17.09,33.74,1.88
2024,1,4,11,247.0,18.41,30.95,1.15
2024,1,4,12,303.42,19.19,28.32,0.79
2024,1,4,13,309.2,19.5,26.6,0.82
2024,1,4,14,280.95,19.43,25.53,1.14
2024,1,4,15,190.4,18.84,25.69,1.56
2024,1,4,16,66.47,16.28,30.45,1.61
2024,1,4,17,0.0,12.8,36.98,2.36
2024,1,4,18,0.0,11.14,41.05,2.78
2024,1,4,19,0.0,9.93,44.9,2.92
2024,1,4,20,0.0,8.85,49.26,2.91
2024,1,4,21,0.0,7.92,53.8,2.87
2024,1,4,22,0.0,7.15,58.23,2.84
2024,1,4,23,0.0,6.5,62.33,2.81
2024,1,5,0,0.0,5.97,65.81,2.74
2024,1,5,1,0.0,5.55,68.61,2.64
2024,1,5,2,0.0,5.23,70.84,2.53
2024,1,5,3,0.0,4.94,72.45,2.47
2024,1,5,4,0.0,4.68,73.96,2.44
2024,1,5,5,0.0,4.49,75.17,2.35
2024,1,5,6,0.0,4.31,76.18,2.29
2024,1,5,7,52.6,6.13,67.31,2.13
2024,1,5,8,75.15,9.51,53.76,2.77
2024,1,5,9,158.82,13.69,38.61,2.14
2024,1,5,10,209.8,16.49,30.73,1.25
2024,1,5,11,217.8,18.06,26.97,0.52
2024,1,5,12,261.12,19.27,23.79,0.31
2024,1,5,13,264.35,20.13,21.35,1.03
2024,1,5,14,219.32,20.11,20.58,1.61
2024,1,5,15,172.18,19.27,21.27,1.98
2024,1,5,16,66.5,16.16,27.32,1.86
2024,1,5,17,0.0,12.61,34.5,2.67
2024,1,5,18,0.0,11.14,40.75,3.14
2024,1,5,19,0.0,10.24,48.41,3.26
2024,1,5,20,0.0,9.39,58.39,3.26
2024,1,5,21,0.0,8.63,68.81,3.23
