Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Version
NSRDB,28930,-,-,-,27.05,75.75,5.5,0,5.5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Pressure,Temperature,Wind Speed
2005,1,1,0,30,0,0,-4,9670,9,0.1
2005,1,1,1,30,0,0,-5,9670,9,0.2
2005,1,1,2,30,0,0,-5,9670,8,0.2
2005,1,1,3,30,0,0,-5,9660,8,0.2
2005,1,1,4,30,0,0,-4,9670,8,0.1
2005,1,1,5,30,0,0,5,9680,12,0.2
2005,1,1,6,30,0,0,4,9690,12,0.2
2005,1,1,7,30,8,0,4,9700,13,0.1
2005,1,1,8,30,91,381,5,9710,15,0
2005,1,1,9,30,136,582,5,9710,19,0
2005,1,1,10,30,162,687,3,9710,22,0.1
2005,1,1,11,30,170,739,2,9700,24,0.1
2005,1,1,12,30,180,755,2,9690,25,0.1
2005,1,1,13,30,175,739,1,9680,25,0.1
2005,1,1,14,30,162,688,1,9670,24,0.1
2005,1,1,15,30,137,584,1,9670,23,0.1
2005,1,1,16,30,92,387,3,9680,20,0.1
2005,1,1,17,30,3,0,3,9680,18,0.1
2005,1,1,18,30,0,0,5,9690,17,0.1
2005,1,1,19,30,0,0,3,9690,16,0.1
2005,1,1,20,30,0,0,5,9700,16,0
2005,1,1,21,30,0,0,4,9700,15,0.1
2005,1,1,22,30,0,0,5,9700,14,0.1
2005,1,1,23,30,0,0,2,9700,14,0.1
2005,1,2,0,30,0,0,2,9700,13,0.2
2005,1,2,1,30,0,0,1,9700,12,0.2
2005,1,2,2,30,0,0,1,9690,12,0.2
2005,1,2,3,30,0,0,0,9690,11,0.2
2005,1,2,4,30,0,0,1,9690,11,0.2
2005,1,2,5,30,0,0,0,9690,10,0.2
2005,1,2,6,30,0,0,0,9700,10,0.2
2005,1,2,7,30,7,0,1,9710,12,0.2
2005,1,2,8,30,92,388,0,9720,15,0.1
2005,1,2,9,30,137,589,1,9720,19,0.1
2005,1,2,10,30,157,693,0,9720,23,0
2005,1,2,11,30,170,740,0,9700,24,0
2005,1,2,12,30,181,763,0,9690,25,0
2005,1,2,13,30,169,747,0,9680,25,0
2005,1,2,14,30,163,698,0,9670,24,0
2005,1,2,15,30,138,596,-1,9670,23,0.1
2005,1,2,16,30,94,399,2,9670,20,0.1
2005,1,2,17,30,3,0,0,9680,17,0.1
2005,1,2,18,30,0,0,0,9680,16,0.1
2005,1,2,19,30,0,0,0,9690,16,0.2
2005,1,2,20,30,0,0,0,9690,15,0.2
2005,1,2,21,30,0,0,0,9690,14,0.2
2005,1,2,22,30,0,0,0,9690,13,0.2
2005,1,2,23,30,0,0,0,9690,12,0.2
2005,1,3,0,30,0,0,0,9690,11,0.2
2005,1,3,1,30,0,0,0,9690,11,0.30000000000000004
2005,1,3,2,30,0,0,1,9690,10,0.30000000000000004
2005,1,3,3,30,0,0,1,9690,10,0.30000000000000004
2005,1,3,4,30,0,0,1,9690,9,0.30000000000000004
2005,1,3,5,30,0,0,1,9700,9,0.30000000000000004
2005,1,3,6,30,0,0,1,9700,9,0.30000000000000004
2005,1,3,7,30,7,0,1,9710,10,0.2
2005,1,3,8,30,106,208,1,9720,14,0.2
2005,1,3,9,30,189,298,1,9730,18,0.1
2005,1,3,10,30,208,604,0,9730,22,0.1
2005,1,3,11,30,177,747,-1,9720,24,0.1
2005,1,3,12,30,181,764,-1,9710,24,0.1
2005,1,3,13,30,177,750,-2,9710,24,0.2
2005,1,3,14,30,164,699,-2,9700,23,0.2
2005,1,3,15,30,139,598,-3,9700,22,0.2
2005,1,3,16,30,95,403,-2,9700,19,0.2
2005,1,3,17,30,3,0,-1,9710,16,0.30000000000000004
2005,1,3,18,30,0,0,-1,9720,15,0.30000000000000004
2005,1,3,19,30,0,0,-1,9730,14,0.30000000000000004
2005,1,3,20,30,0,0,0,9730,13,0.30000000000000004
2005,1,3,21,30,0,0,0,9740,12,0.30000000000000004
2005,1,3,22,30,0,0,0,9740,12,0.2
2005,1,3,23,30,0,0,0,9740,11,0.2
2005,1,4,0,30,0,0,0,9740,10,0.2
2005,1,4,1,30,0,0,0,9740,10,0.2
2005,1,4,2,30,0,0,0,9740,10,0.2
2005,1,4,3,30,0,0,0,9740,9,0.2
2005,1,4,4,30,0,0,0,9740,9,0.2
2005,1,4,5,30,0,0,0,9750,9,0.2
2005,1,4,6,30,0,0,0,9750,8,0.2
2005,1,4,7,30,4,0,0,9760,10,0.1
2005,1,4,8,30,91,386,0,9760,14,0.1
2005,1,4,9,30,137,589,0,9770,18,0.1
2005,1,4,10,30,157,693,-1,9760,21,0.1
2005,1,4,11,30,183,721,-2,9750,24,0
2005,1,4,12,30,244,587,-3,9730,25,0
2005,1,4,13,30,181,736,-4,9720,25,0.1
2005,1,4,14,30,164,704,-4,9720,24,0.1
2005,1,4,15,30,139,583,-4,9720,23,0.1
2005,1,4,16,30,96,409,-2,9720,19,0.1
2005,1,4,17,30,4,0,-2,9720,17,0.2
2005,1,4,18,30,0,0,-2,9720,16,0.2
2005,1,4,19,30,0,0,-2,9730,15,0.2
2005,1,4,20,30,0,0,-2,9730,14,0.2
2005,1,4,21,30,0,0,-2,9730,13,0.2
2005,1,4,22,30,0,0,-2,9720,12,0.2
2005,1,4,23,30,0,0,-2,9720,11,0.2
2005,1,5,0,30,0,0,-2,9720,11,0.2
2005,1,5,1,30,0,0,-2,9720,10,0.2
2005,1,5,2,30,0,0,-2,9720,9,0.2
2005,1,5,3,30,0,0,-2,9720,9,0.2
2005,1,5,4,30,0,0,-2,9730,9,0.2
2005,1,5,5,30,0,0,-2,9730,8,0.2
2005,1,5,6,30,0,0,-1,9740,8,0.2
2005,1,5,7,30,6,0,-1,9750,10,0.1
2005,1,5,8,30,91,387,-2,9750,14,0.1
2005,1,5,9,30,137,589,-2,9750,18,0
2005,1,5,10,30,163,695,-3,9750,22,0
2005,1,5,11,30,177,747,-3,9730,24,0
2005,1,5,12,30,181,764,-3,9720,25,0
2005,1,5,13,30,177,750,-3,9710,25,0.1
2005,1,5,14,30,164,700,-3,9700,24,0
2005,1,5,15,30,139,600,-3,9700,23,0
2005,1,5,16,30,104,367,0,9710,19,0
2005,1,5,17,30,4,0,0,9710,17,0
2005,1,5,18,30,0,0,-2,9710,16,0.1
2005,1,5,19,30,0,0,-2,9720,15,0.1
2005,1,5,20,30,0,0,-3,9720,14,0.2
2005,1,5,21,30,0,0,-2,9720,14,0.2
2005,1,5,22,30,0,0,-3,9720,13,0.2
2005,1,5,23,30,0,0,-2,9710,12,0.2
2005,1,6,0,30,0,0,-3,9710,11,0.2
2005,1,6,1,30,0,0,-2,9710,11,0.2
2005,1,6,2,30,0,0,-2,9700,10,0.2
2005,1,6,3,30,0,0,-2,9700,10,0.2
2005,1,6,4,30,0,0,-2,9710,9,0.2
2005,1,6,5,30,0,0,-2,9710,9,0.2
2005,1,6,6,30,0,0,-2,9720,8,0.2
2005,1,6,7,30,6,0,-2,9730,10,0.2
